date,name,value
2023-03-15,"Mineral fuels, lubricants and related materials",-5.5758
2023-03-15,Raw materials,-0.42510000000000003
2023-04-15,"Chemicals and related products, n.e.s.",4.174
2023-04-15,Commodities and transactions not classified elsewhere in the SITC,0.2794
2023-04-15,"Food, drinks and tobacco",1.1834
2023-04-15,Machinery and transport equipment,6.4094
2023-04-15,Manufactured goods,18.6018
2023-04-15,"Mineral fuels, lubricants and related materials",-5.442699999999999
2023-04-15,Raw materials,-0.48810000000000003
2023-05-15,"Chemicals and related products, n.e.s.",4.3572
2023-05-15,Commodities and transactions not classified elsewhere in the SITC,0.4879
2023-05-15,"Food, drinks and tobacco",1.2752000000000001
2023-05-15,Machinery and transport equipment,8.5981
2023-05-15,Manufactured goods,22.6308
2023-05-15,"Mineral fuels, lubricants and related materials",-5.0306999999999995
2023-05-15,Raw materials,-0.5872
2023-06-15,"Chemicals and related products, n.e.s.",5.7005
2023-06-15,Commodities and transactions not classified elsewhere in the SITC,0.028300000000000002
2023-06-15,"Food, drinks and tobacco",1.4632
2023-06-15,Machinery and transport equipment,8.5078
2023-06-15,Manufactured goods,23.881100000000004
2023-06-15,"Mineral fuels, lubricants and related materials",-4.762899999999999
2023-06-15,Raw materials,-0.2877
2023-07-15,"Chemicals and related products, n.e.s.",5.8573
2023-07-15,Commodities and transactions not classified elsewhere in the SITC,0.1378
2023-07-15,"Food, drinks and tobacco",1.3787
2023-07-15,Machinery and transport equipment,8.295200000000001
2023-07-15,Manufactured goods,23.2449
2023-07-15,"Mineral fuels, lubricants and related materials",-5.8159
2023-07-15,Raw materials,-0.3821
2023-08-15,"Chemicals and related products, n.e.s.",5.3851
2023-08-15,Commodities and transactions not classified elsewhere in the SITC,0.22519999999999998
2023-08-15,"Food, drinks and tobacco",1.3504
2023-08-15,Machinery and transport equipment,8.471200000000001
2023-08-15,Manufactured goods,21.7774
2023-08-15,"Mineral fuels, lubricants and related materials",-5.8653
2023-08-15,Raw materials,-0.4869
2023-09-15,"Chemicals and related products, n.e.s.",5.2121
2023-09-15,Commodities and transactions not classified elsewhere in the SITC,-0.1456
2023-09-15,"Food, drinks and tobacco",1.5015999999999998
2023-09-15,Machinery and transport equipment,8.304799999999998
2023-09-15,Manufactured goods,22.612500000000004
2023-09-15,"Mineral fuels, lubricants and related materials",-5.7143999999999995
2023-09-15,Raw materials,-0.3005
2023-10-15,"Chemicals and related products, n.e.s.",5.6795
2023-10-15,Commodities and transactions not classified elsewhere in the SITC,-0.048799999999999996
2023-10-15,"Food, drinks and tobacco",1.4462000000000002
2023-10-15,Machinery and transport equipment,11.6435
2023-10-15,Manufactured goods,27.0794
2023-10-15,"Mineral fuels, lubricants and related materials",-6.1197
2023-10-15,Raw materials,-0.48410000000000003
2023-11-15,"Chemicals and related products, n.e.s.",4.645899999999999
2023-11-15,Commodities and transactions not classified elsewhere in the SITC,-0.0687
2023-11-15,"Food, drinks and tobacco",1.3998
2023-11-15,Machinery and transport equipment,11.8811
2023-11-15,Manufactured goods,26.826900000000002
2023-11-15,"Mineral fuels, lubricants and related materials",-6.4674
2023-11-15,Raw materials,-0.5199
2023-12-15,"Chemicals and related products, n.e.s.",4.8618999999999994
2023-12-15,Commodities and transactions not classified elsewhere in the SITC,-0.1441
2023-12-15,"Food, drinks and tobacco",1.3773
2023-12-15,Machinery and transport equipment,6.884399999999999
2023-12-15,Manufactured goods,20.2619
2023-12-15,"Mineral fuels, lubricants and related materials",-6.7222
2023-12-15,Raw materials,-0.4097
2024-01-15,"Chemicals and related products, n.e.s.",6.910699999999999
2024-01-15,Commodities and transactions not classified elsewhere in the SITC,-0.1212
2024-01-15,"Food, drinks and tobacco",1.2784
2024-01-15,Machinery and transport equipment,6.922899999999999
2024-01-15,Manufactured goods,21.664800000000003
2024-01-15,"Mineral fuels, lubricants and related materials",-6.3521
2024-01-15,Raw materials,-0.5252
2024-02-15,"Chemicals and related products, n.e.s.",5.599399999999999
2024-02-15,Commodities and transactions not classified elsewhere in the SITC,-0.183
2024-02-15,"Food, drinks and tobacco",1.258
2024-02-15,Machinery and transport equipment,10.040899999999999
2024-02-15,Manufactured goods,24.3927
2024-02-15,"Mineral fuels, lubricants and related materials",-6.1034
2024-02-15,Raw materials,-0.4137
2024-03-15,"Chemicals and related products, n.e.s.",7.5268999999999995
2024-03-15,Commodities and transactions not classified elsewhere in the SITC,0.1227
2024-03-15,"Food, drinks and tobacco",1.4253
2024-03-15,Machinery and transport equipment,8.114
2024-03-15,Manufactured goods,25.3928
2024-03-15,"Mineral fuels, lubricants and related materials",-5.298
2024-03-15,Raw materials,-0.29810000000000003
2024-04-15,"Chemicals and related products, n.e.s.",7.6963
2024-04-15,Commodities and transactions not classified elsewhere in the SITC,-0.0964
2024-04-15,"Food, drinks and tobacco",1.2041
2024-04-15,Machinery and transport equipment,8.943100000000001
2024-04-15,Manufactured goods,25.096
2024-04-15,"Mineral fuels, lubricants and related materials",-5.3721000000000005
2024-04-15,Raw materials,-0.0974
2024-05-15,"Chemicals and related products, n.e.s.",6.27
2024-05-15,Commodities and transactions not classified elsewhere in the SITC,-0.1978
2024-05-15,"Food, drinks and tobacco",1.3227
2024-05-15,Machinery and transport equipment,7.8408
2024-05-15,Manufactured goods,24.3784
2024-05-15,"Mineral fuels, lubricants and related materials",-6.1098
2024-05-15,Raw materials,-0.019100000000000002
2024-06-15,"Chemicals and related products, n.e.s.",6.9467
2024-06-15,Commodities and transactions not classified elsewhere in the SITC,-0.0735
2024-06-15,"Food, drinks and tobacco",1.4024
2024-06-15,Machinery and transport equipment,9.5401
2024-06-15,Manufactured goods,26.3358
2024-06-15,"Mineral fuels, lubricants and related materials",-3.9043
2024-06-15,Raw materials,-0.2037
2024-07-15,"Chemicals and related products, n.e.s.",7.8292
2024-07-15,Commodities and transactions not classified elsewhere in the SITC,-0.1394
2024-07-15,"Food, drinks and tobacco",1.5888
2024-07-15,Machinery and transport equipment,8.3061
2024-07-15,Manufactured goods,27.1442
2024-07-15,"Mineral fuels, lubricants and related materials",-4.3931000000000004
2024-07-15,Raw materials,-0.2115
2024-08-15,"Chemicals and related products, n.e.s.",8.8194
2024-08-15,Commodities and transactions not classified elsewhere in the SITC,-0.16340000000000002
2024-08-15,"Food, drinks and tobacco",1.575
2024-08-15,Machinery and transport equipment,6.4845
2024-08-15,Manufactured goods,22.6203
2024-08-15,"Mineral fuels, lubricants and related materials",-4.7521
2024-08-15,Raw materials,-0.3735
2024-09-15,"Chemicals and related products, n.e.s.",8.7194
2024-09-15,Commodities and transactions not classified elsewhere in the SITC,-0.0834
2024-09-15,"Food, drinks and tobacco",1.4927000000000001
2024-09-15,Machinery and transport equipment,9.7089
2024-09-15,Manufactured goods,27.0896
2024-09-15,"Mineral fuels, lubricants and related materials",-5.3286999999999995
2024-09-15,Raw materials,-0.3178
2024-10-15,"Chemicals and related products, n.e.s.",8.8591
2024-10-15,Commodities and transactions not classified elsewhere in the SITC,-0.2865
2024-10-15,"Food, drinks and tobacco",1.6725
2024-10-15,Machinery and transport equipment,10.5923
2024-10-15,Manufactured goods,29.876199999999997
2024-10-15,"Mineral fuels, lubricants and related materials",-6.1245
2024-10-15,Raw materials,-0.4126
2024-11-15,"Chemicals and related products, n.e.s.",9.3285
2024-11-15,Commodities and transactions not classified elsewhere in the SITC,-0.0402
2024-11-15,"Food, drinks and tobacco",1.5927
2024-11-15,Machinery and transport equipment,8.1144
2024-11-15,Manufactured goods,27.731299999999997
2024-11-15,"Mineral fuels, lubricants and related materials",-5.4642
2024-11-15,Raw materials,-0.459
2024-12-15,"Chemicals and related products, n.e.s.",7.8711
2024-12-15,Commodities and transactions not classified elsewhere in the SITC,-0.18059999999999998
2024-12-15,"Food, drinks and tobacco",1.7218
2024-12-15,Machinery and transport equipment,6.4476
2024-12-15,Manufactured goods,24.572899999999997
2024-12-15,"Mineral fuels, lubricants and related materials",-5.3772
2024-12-15,Raw materials,-0.5546
2025-01-15,"Chemicals and related products, n.e.s.",12.893600000000001
2025-01-15,Commodities and transactions not classified elsewhere in the SITC,-0.7965
2025-01-15,"Food, drinks and tobacco",1.1930999999999998
2025-01-15,Machinery and transport equipment,7.079899999999999
2025-01-15,Manufactured goods,28.508899999999997
2025-01-15,"Mineral fuels, lubricants and related materials",-6.1905
2025-01-15,Raw materials,-0.3545
2025-02-15,"Chemicals and related products, n.e.s.",14.9091
2025-02-15,Commodities and transactions not classified elsewhere in the SITC,-0.1918
2025-02-15,"Food, drinks and tobacco",1.2287000000000001
2025-02-15,Machinery and transport equipment,8.290299999999998
2025-02-15,Manufactured goods,33.6829
2025-02-15,"Mineral fuels, lubricants and related materials",-5.9581
2025-02-15,Raw materials,-0.1348
2025-03-15,"Chemicals and related products, n.e.s.",29.1112
2025-03-15,Commodities and transactions not classified elsewhere in the SITC,-0.1175
2025-03-15,"Food, drinks and tobacco",1.3603
2025-03-15,Machinery and transport equipment,10.3698
2025-03-15,Manufactured goods,50.1333
2025-03-15,"Mineral fuels, lubricants and related materials",-5.3733
2025-03-15,Raw materials,-0.31139999999999995
2025-04-15,"Chemicals and related products, n.e.s.",10.2545
2025-04-15,Commodities and transactions not classified elsewhere in the SITC,-0.26689999999999997
2025-04-15,"Food, drinks and tobacco",1.2920999999999998
2025-04-15,Machinery and transport equipment,6.6416
2025-04-15,Manufactured goods,26.6375
2025-04-15,"Mineral fuels, lubricants and related materials",-5.4942
2025-04-15,Raw materials,-0.2065
2025-05-15,"Chemicals and related products, n.e.s.",10.4425
2025-05-15,Commodities and transactions not classified elsewhere in the SITC,-0.354
2025-05-15,"Food, drinks and tobacco",1.2655
2025-05-15,Machinery and transport equipment,6.6203
2025-05-15,Manufactured goods,26.464199999999998
2025-05-15,"Mineral fuels, lubricants and related materials",-4.0269
2025-05-15,Raw materials,-0.1377
2025-06-15,"Chemicals and related products, n.e.s.",3.3264
2025-06-15,Commodities and transactions not classified elsewhere in the SITC,-0.37289999999999995
2025-06-15,"Food, drinks and tobacco",1.2807
2025-06-15,Machinery and transport equipment,6.5143
2025-06-15,Manufactured goods,19.058300000000003
2025-06-15,"Mineral fuels, lubricants and related materials",-4.4524
2025-06-15,Raw materials,-0.4557
2025-07-15,"Chemicals and related products, n.e.s.",3.1275999999999997
2025-07-15,Commodities and transactions not classified elsewhere in the SITC,-0.5704
2025-07-15,"Food, drinks and tobacco",1.304
2025-07-15,Machinery and transport equipment,9.046
2025-07-15,Manufactured goods,22.6747
2025-07-15,"Mineral fuels, lubricants and related materials",-5.0906
2025-07-15,Raw materials,-0.3717
