country,name,value,fill,sum
Saudi Arabia,Transport aircraft,0,Non-European country,65.5709
Saudi Arabia,UAVs,0,Non-European country,65.5709
Canada,AV & Ground systems,0.16,Non-European country,65.5709
Canada,Air Defences,0,Non-European country,65.5709
Canada,Anti-armour,0,Non-European country,65.5709
Canada,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Canada,C3 & Electronics,0,Non-European country,65.5709
Canada,Combat aircraft,0,Non-European country,65.5709
Canada,"Construction, Logistics & Services",0,Non-European country,65.5709
Canada,Helicopters,0,Non-European country,65.5709
Canada,Light weapons,0,Non-European country,65.5709
Canada,Missiles,0,Non-European country,65.5709
Canada,Naval systems,0,Non-European country,65.5709
Canada,Radars & sensors,0,Non-European country,65.5709
Canada,Rockets/Artillery,4.43,Non-European country,65.5709
Canada,Transport aircraft,0,Non-European country,65.5709
Canada,UAVs,0,Non-European country,65.5709
Australia,AV & Ground systems,0,Non-European country,65.5709
Australia,Air Defences,0,Non-European country,65.5709
Australia,Anti-armour,0.0973,Non-European country,65.5709
Australia,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Australia,C3 & Electronics,0,Non-European country,65.5709
Australia,Combat aircraft,2.404,Non-European country,65.5709
Australia,"Construction, Logistics & Services",0,Non-European country,65.5709
Australia,Helicopters,0,Non-European country,65.5709
Australia,Light weapons,0,Non-European country,65.5709
Australia,Missiles,1.04,Non-European country,65.5709
Australia,Naval systems,0,Non-European country,65.5709
Australia,Radars & sensors,0.165,Non-European country,65.5709
Australia,Rockets/Artillery,0.7962,Non-European country,65.5709
Australia,Transport aircraft,0,Non-European country,65.5709
Australia,UAVs,0,Non-European country,65.5709
Poland,AV & Ground systems,0,EU Member State,31.2802
Poland,Air Defences,0,EU Member State,31.2802
Poland,Anti-armour,0.78,EU Member State,31.2802
Poland,"Bombs, Munitions & Projectiles",0.18,EU Member State,31.2802
Poland,C3 & Electronics,0,EU Member State,31.2802
Poland,Combat aircraft,1.85,EU Member State,31.2802
Poland,"Construction, Logistics & Services",0.2,EU Member State,31.2802
Poland,Helicopters,0,EU Member State,31.2802
Poland,Light weapons,0,EU Member State,31.2802
Poland,Missiles,1.33,EU Member State,31.2802
Poland,Naval systems,0,EU Member State,31.2802
Poland,Radars & sensors,0,EU Member State,31.2802
Poland,Rockets/Artillery,0,EU Member State,31.2802
Poland,Transport aircraft,0,EU Member State,31.2802
Poland,UAVs,0,EU Member State,31.2802
Peru,AV & Ground systems,0,Non-European country,65.5709
Peru,Air Defences,0,Non-European country,65.5709
Peru,Anti-armour,0,Non-European country,65.5709
Peru,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Peru,C3 & Electronics,0,Non-European country,65.5709
Peru,Combat aircraft,3.42,Non-European country,65.5709
Peru,"Construction, Logistics & Services",0,Non-European country,65.5709
Peru,Helicopters,0,Non-European country,65.5709
Peru,Light weapons,0,Non-European country,65.5709
Peru,Missiles,0,Non-European country,65.5709
Peru,Naval systems,0,Non-European country,65.5709
Peru,Radars & sensors,0,Non-European country,65.5709
Peru,Rockets/Artillery,0,Non-European country,65.5709
Peru,Transport aircraft,0,Non-European country,65.5709
Peru,UAVs,0,Non-European country,65.5709
Norway,AV & Ground systems,0,Other European country,7.3762
Norway,Air Defences,0,Other European country,7.3762
Norway,Anti-armour,0,Other European country,7.3762
Norway,"Bombs, Munitions & Projectiles",0.113,Other European country,7.3762
Norway,C3 & Electronics,0,Other European country,7.3762
Norway,Combat aircraft,0,Other European country,7.3762
Norway,"Construction, Logistics & Services",0,Other European country,7.3762
Norway,Helicopters,2.6,Other European country,7.3762
Norway,Light weapons,0,Other European country,7.3762
Norway,Missiles,0.37089999999999995,Other European country,7.3762
Norway,Naval systems,0.1621,Other European country,7.3762
Norway,Radars & sensors,0,Other European country,7.3762
Norway,Rockets/Artillery,0,Other European country,7.3762
Norway,Transport aircraft,0,Other European country,7.3762
Norway,UAVs,0,Other European country,7.3762
Netherlands,AV & Ground systems,0,EU Member State,31.2802
Netherlands,Air Defences,0,EU Member State,31.2802
Netherlands,Anti-armour,0,EU Member State,31.2802
Netherlands,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Netherlands,C3 & Electronics,0,EU Member State,31.2802
Netherlands,Combat aircraft,0,EU Member State,31.2802
Netherlands,"Construction, Logistics & Services",0,EU Member State,31.2802
Netherlands,Helicopters,0,EU Member State,31.2802
Netherlands,Light weapons,0,EU Member State,31.2802
Netherlands,Missiles,2.975,EU Member State,31.2802
Netherlands,Naval systems,0,EU Member State,31.2802
Netherlands,Radars & sensors,0,EU Member State,31.2802
Netherlands,Rockets/Artillery,0,EU Member State,31.2802
Netherlands,Transport aircraft,0,EU Member State,31.2802
Netherlands,UAVs,0,EU Member State,31.2802
Ukraine,AV & Ground systems,0.15,Other European country,7.3762
Ukraine,Air Defences,0.6361,Other European country,7.3762
Ukraine,Anti-armour,0,Other European country,7.3762
Ukraine,"Bombs, Munitions & Projectiles",0.825,Other European country,7.3762
Ukraine,C3 & Electronics,0.15,Other European country,7.3762
Ukraine,Combat aircraft,0.3105,Other European country,7.3762
Ukraine,"Construction, Logistics & Services",0.0995,Other European country,7.3762
Ukraine,Helicopters,0,Other European country,7.3762
Ukraine,Light weapons,0,Other European country,7.3762
Ukraine,Missiles,0,Other European country,7.3762
Ukraine,Naval systems,0,Other European country,7.3762
Ukraine,Radars & sensors,0,Other European country,7.3762
Ukraine,Rockets/Artillery,0.254,Other European country,7.3762
Ukraine,Transport aircraft,0,Other European country,7.3762
Ukraine,UAVs,0,Other European country,7.3762
Kuwait,AV & Ground systems,0.325,Non-European country,65.5709
Kuwait,Air Defences,0,Non-European country,65.5709
Kuwait,Anti-armour,0,Non-European country,65.5709
Kuwait,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Kuwait,C3 & Electronics,0,Non-European country,65.5709
Kuwait,Combat aircraft,0,Non-European country,65.5709
Kuwait,"Construction, Logistics & Services",1,Non-European country,65.5709
Kuwait,Helicopters,0,Non-European country,65.5709
Kuwait,Light weapons,0,Non-European country,65.5709
Kuwait,Missiles,0.825,Non-European country,65.5709
Kuwait,Naval systems,0,Non-European country,65.5709
Kuwait,Radars & sensors,0,Non-European country,65.5709
Kuwait,Rockets/Artillery,0,Non-European country,65.5709
Kuwait,Transport aircraft,0,Non-European country,65.5709
Kuwait,UAVs,0,Non-European country,65.5709
Qatar,AV & Ground systems,0,Non-European country,65.5709
Qatar,Air Defences,0,Non-European country,65.5709
Qatar,Anti-armour,0,Non-European country,65.5709
Qatar,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Qatar,C3 & Electronics,0,Non-European country,65.5709
Qatar,Combat aircraft,0,Non-European country,65.5709
Qatar,"Construction, Logistics & Services",0,Non-European country,65.5709
Qatar,Helicopters,0,Non-European country,65.5709
Qatar,Light weapons,0,Non-European country,65.5709
Qatar,Missiles,0,Non-European country,65.5709
Qatar,Naval systems,0,Non-European country,65.5709
Qatar,Radars & sensors,0,Non-European country,65.5709
Qatar,Rockets/Artillery,0,Non-European country,65.5709
Qatar,Transport aircraft,0,Non-European country,65.5709
Qatar,UAVs,1.96,Non-European country,65.5709
United Arab Emirates,AV & Ground systems,0,Non-European country,65.5709
United Arab Emirates,Air Defences,0,Non-European country,65.5709
United Arab Emirates,Anti-armour,0,Non-European country,65.5709
United Arab Emirates,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
United Arab Emirates,C3 & Electronics,0,Non-European country,65.5709
United Arab Emirates,Combat aircraft,0.13,Non-European country,65.5709
United Arab Emirates,"Construction, Logistics & Services",0,Non-European country,65.5709
United Arab Emirates,Helicopters,1.32,Non-European country,65.5709
United Arab Emirates,Light weapons,0,Non-European country,65.5709
United Arab Emirates,Missiles,0,Non-European country,65.5709
United Arab Emirates,Naval systems,0,Non-European country,65.5709
United Arab Emirates,Radars & sensors,0,Non-European country,65.5709
United Arab Emirates,Rockets/Artillery,0,Non-European country,65.5709
United Arab Emirates,Transport aircraft,0,Non-European country,65.5709
United Arab Emirates,UAVs,0,Non-European country,65.5709
Finland,AV & Ground systems,0,EU Member State,31.2802
Finland,Air Defences,0,EU Member State,31.2802
Finland,Anti-armour,0,EU Member State,31.2802
Finland,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Finland,C3 & Electronics,0,EU Member State,31.2802
Finland,Combat aircraft,0,EU Member State,31.2802
Finland,"Construction, Logistics & Services",0,EU Member State,31.2802
Finland,Helicopters,0,EU Member State,31.2802
Finland,Light weapons,0,EU Member State,31.2802
Finland,Missiles,1.07,EU Member State,31.2802
Finland,Naval systems,0,EU Member State,31.2802
Finland,Radars & sensors,0,EU Member State,31.2802
Finland,Rockets/Artillery,0,EU Member State,31.2802
Finland,Transport aircraft,0,EU Member State,31.2802
Finland,UAVs,0,EU Member State,31.2802
United Kingdom,AV & Ground systems,0,Other European country,7.3762
United Kingdom,Air Defences,0,Other European country,7.3762
United Kingdom,Anti-armour,0,Other European country,7.3762
United Kingdom,"Bombs, Munitions & Projectiles",0,Other European country,7.3762
United Kingdom,C3 & Electronics,0.2,Other European country,7.3762
United Kingdom,Combat aircraft,0,Other European country,7.3762
United Kingdom,"Construction, Logistics & Services",0,Other European country,7.3762
United Kingdom,Helicopters,0,Other European country,7.3762
United Kingdom,Light weapons,0,Other European country,7.3762
United Kingdom,Missiles,0,Other European country,7.3762
United Kingdom,Naval systems,0,Other European country,7.3762
United Kingdom,Radars & sensors,0,Other European country,7.3762
United Kingdom,Rockets/Artillery,0,Other European country,7.3762
United Kingdom,Transport aircraft,0.861,Other European country,7.3762
United Kingdom,UAVs,0,Other European country,7.3762
Bahrain,AV & Ground systems,0,Non-European country,65.5709
Bahrain,Air Defences,0,Non-European country,65.5709
Bahrain,Anti-armour,0,Non-European country,65.5709
Bahrain,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Bahrain,C3 & Electronics,0,Non-European country,65.5709
Bahrain,Combat aircraft,0.445,Non-European country,65.5709
Bahrain,"Construction, Logistics & Services",0,Non-European country,65.5709
Bahrain,Helicopters,0,Non-European country,65.5709
Bahrain,Light weapons,0,Non-European country,65.5709
Bahrain,Missiles,0,Non-European country,65.5709
Bahrain,Naval systems,0,Non-European country,65.5709
Bahrain,Radars & sensors,0,Non-European country,65.5709
Bahrain,Rockets/Artillery,0.5,Non-European country,65.5709
Bahrain,Transport aircraft,0,Non-European country,65.5709
Bahrain,UAVs,0,Non-European country,65.5709
Morocco,AV & Ground systems,0,Non-European country,65.5709
Morocco,Air Defences,0,Non-European country,65.5709
Morocco,Anti-armour,0,Non-European country,65.5709
Morocco,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Morocco,C3 & Electronics,0,Non-European country,65.5709
Morocco,Combat aircraft,0,Non-European country,65.5709
Morocco,"Construction, Logistics & Services",0,Non-European country,65.5709
Morocco,Helicopters,0,Non-European country,65.5709
Morocco,Light weapons,0.825,Non-European country,65.5709
Morocco,Missiles,0,Non-European country,65.5709
Morocco,Naval systems,0,Non-European country,65.5709
Morocco,Radars & sensors,0,Non-European country,65.5709
Morocco,Rockets/Artillery,0,Non-European country,65.5709
Morocco,Transport aircraft,0,Non-European country,65.5709
Morocco,UAVs,0,Non-European country,65.5709
Pakistan,AV & Ground systems,0,Non-European country,65.5709
Pakistan,Air Defences,0,Non-European country,65.5709
Pakistan,Anti-armour,0,Non-European country,65.5709
Pakistan,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Pakistan,C3 & Electronics,0,Non-European country,65.5709
Pakistan,Combat aircraft,0.686,Non-European country,65.5709
Pakistan,"Construction, Logistics & Services",0,Non-European country,65.5709
Pakistan,Helicopters,0,Non-European country,65.5709
Pakistan,Light weapons,0,Non-European country,65.5709
Pakistan,Missiles,0,Non-European country,65.5709
Pakistan,Naval systems,0,Non-European country,65.5709
Pakistan,Radars & sensors,0,Non-European country,65.5709
